# wine-commit	2ecc2f84b45ec42afbf1725d756181180a8204b1
# baseline-gap-sha256	a42e5d3ab87a3d9538e1451c109ceb06f3c7bd4dbf131ac48f017ab002e206e6
# architecture	x86_64
# name	kind	args	flags	alias	group	owner	abi-authority	effective-args	return-class	state
ApiSetQueryApiSetPresence	stdcall	ptr,ptr	-	-	A1-apiset	ntdll	wine-spec	ptr,ptr	ntstatus	planned
ApiSetQueryApiSetPresenceEx	stdcall	ptr,ptr,ptr	-	-	A1-apiset	ntdll	wine-spec	ptr,ptr,ptr	ntstatus	planned
CsrAllocateCapturePointer	stub	-	-	-	C1-csr	ntdll	unknown	unresolved	unresolved	blocked-abi
CsrClientMaxMessage	stub	-	-	-	C1-csr	ntdll	unknown	unresolved	unresolved	blocked-abi
CsrClientSendMessage	stub	-	-	-	C1-csr	ntdll	unknown	unresolved	unresolved	blocked-abi
CsrClientThreadConnect	stub	-	-	-	C1-csr	ntdll	unknown	unresolved	unresolved	blocked-abi
CsrpProcessCallbackRequest	stub	-	-	-	C1-csr	ntdll	unknown	unresolved	unresolved	blocked-abi
LdrAddDllDirectory	stdcall	ptr,ptr	-	-	L1-search	ntdll	wine-spec	ptr,ptr	ntstatus	planned
LdrGetDllDirectory	stdcall	ptr	-	-	L1-search	ntdll	wine-spec	ptr	ntstatus	planned
LdrGetDllFullName	stdcall	long,ptr	-	-	L2-resolve	ntdll	source-override	ptr,ptr	ntstatus	planned
LdrGetDllPath	stdcall	wstr,long,ptr,ptr	-	-	L1-search	ntdll	wine-spec	wstr,long,ptr,ptr	ntstatus	planned
LdrRemoveDllDirectory	stdcall	ptr	-	-	L1-search	ntdll	wine-spec	ptr	ntstatus	planned
LdrResolveDelayLoadedAPI	stdcall	ptr,ptr,ptr,ptr,ptr,long	-	-	L2-resolve	ntdll	wine-spec	ptr,ptr,ptr,ptr,ptr,long	ptr	planned
LdrSetDefaultDllDirectories	stdcall	long	-	-	L1-search	ntdll	wine-spec	long	ntstatus	planned
LdrSetDllDirectory	stdcall	ptr	-	-	L1-search	ntdll	wine-spec	ptr	ntstatus	planned
LdrSystemDllInitBlock	extern	-	-	-	L3-data	ntdll-data	source-override	-	data-block	planned
NtAccessCheckByTypeAndAuditAlarm	stdcall	ptr,long,ptr,ptr,ptr,ptr,long,long,long,ptr,long,ptr,long,ptr,ptr,ptr	syscall=0x0059	-	K-security	kernel	wine-spec	ptr,long,ptr,ptr,ptr,ptr,long,long,long,ptr,long,ptr,long,ptr,ptr,ptr	ntstatus	planned
NtAlertMultipleThreadByThreadId	stdcall	ptr,long,ptr,ptr	syscall	-	K-thread	kernel	wine-spec	ptr,long,ptr,ptr	ntstatus	planned
NtAlertResumeThread	stdcall	long,ptr	syscall	-	K-thread	kernel	wine-spec	long,ptr	ntstatus	planned
NtAlertThread	stdcall	long	syscall	-	K-thread	kernel	wine-spec	long	ntstatus	planned
NtAlertThreadByThreadId	stdcall	ptr	syscall	-	K-thread	kernel	wine-spec	ptr	ntstatus	planned
NtAllocateReserveObject	stdcall	ptr,ptr,long	syscall	-	K-object	kernel	wine-spec	ptr,ptr,long	ntstatus	planned
NtAllocateUuids	stdcall	ptr,ptr,ptr,ptr	syscall	-	K-time	kernel	wine-spec	ptr,ptr,ptr,ptr	ntstatus	planned
NtAllocateVirtualMemoryEx	stdcall	long,ptr,ptr,long,long,ptr,long	syscall	-	K-vm	kernel	wine-spec	long,ptr,ptr,long,long,ptr,long	ntstatus	planned
NtAlpcAcceptConnectPort	stdcall	ptr,ptr,long,ptr,ptr,ptr,ptr,ptr,long	syscall	-	K-alpc	kernel	wine-spec	ptr,ptr,long,ptr,ptr,ptr,ptr,ptr,long	ntstatus	planned
NtAlpcConnectPort	stdcall	ptr,ptr,ptr,ptr,long,ptr,ptr,ptr,ptr,ptr,ptr	syscall	-	K-alpc	kernel	wine-spec	ptr,ptr,ptr,ptr,long,ptr,ptr,ptr,ptr,ptr,ptr	ntstatus	planned
NtAlpcCreatePort	stdcall	ptr,ptr,ptr	syscall	-	K-alpc	kernel	wine-spec	ptr,ptr,ptr	ntstatus	planned
NtAlpcDisconnectPort	stdcall	ptr,long	syscall	-	K-alpc	kernel	wine-spec	ptr,long	ntstatus	planned
NtAlpcImpersonateClientOfPort	stdcall	ptr,ptr,ptr	syscall	-	K-alpc	kernel	wine-spec	ptr,ptr,ptr	ntstatus	planned
NtAlpcSendWaitReceivePort	stdcall	ptr,long,ptr,ptr,ptr,ptr,ptr,ptr	syscall	-	K-alpc	kernel	wine-spec	ptr,long,ptr,ptr,ptr,ptr,ptr,ptr	ntstatus	planned
NtAreMappedFilesTheSame	stdcall	ptr,ptr	syscall	-	K-vm	kernel	wine-spec	ptr,ptr	ntstatus	planned
NtCancelIoFileEx	stdcall	long,ptr,ptr	syscall	-	K-io	kernel	wine-spec	long,ptr,ptr	ntstatus	planned
NtCancelSynchronousIoFile	stdcall	long,ptr,ptr	syscall	-	K-io	kernel	wine-spec	long,ptr,ptr	ntstatus	planned
NtCommitTransaction	stdcall	long,long	syscall	-	K-ktm	kernel	wine-spec	long,long	ntstatus	planned
NtCompareObjects	stdcall	ptr,ptr	syscall	-	K-object	kernel	wine-spec	ptr,ptr	ntstatus	planned
NtCompareTokens	stdcall	ptr,ptr,ptr	syscall	-	K-security	kernel	wine-spec	ptr,ptr,ptr	ntstatus	planned
NtContinueEx	stdcall	ptr,ptr	syscall	-	K-thread	kernel	wine-spec	ptr,ptr	ntstatus	planned
NtConvertBetweenAuxiliaryCounterAndPerformanceCounter	stdcall	long,ptr,ptr,ptr	syscall	-	K-time	kernel	wine-spec	long,ptr,ptr,ptr	ntstatus	planned
NtCreateKeyTransacted	stdcall	ptr,long,ptr,long,ptr,long,long,ptr	syscall	-	K-config	kernel	wine-spec	ptr,long,ptr,long,ptr,long,long,ptr	ntstatus	planned
NtCreateLowBoxToken	stdcall	ptr,long,long,ptr,ptr,long,ptr,long,ptr	syscall	-	K-security	kernel	wine-spec	ptr,long,long,ptr,ptr,long,ptr,long,ptr	ntstatus	planned
NtCreateSectionEx	stdcall	ptr,long,ptr,ptr,long,long,long,ptr,long	syscall	-	K-vm	kernel	wine-spec	ptr,long,ptr,ptr,long,long,long,ptr,long	ntstatus	planned
NtCreateThreadEx	stdcall	ptr,long,ptr,long,ptr,ptr,long,long,long,long,ptr	syscall	-	K-thread	kernel	wine-spec	ptr,long,ptr,long,ptr,ptr,long,long,long,long,ptr	ntstatus	planned
NtCreateTransaction	stdcall	ptr,long,ptr,ptr,long,long,long,long,ptr,ptr	syscall	-	K-ktm	kernel	wine-spec	ptr,long,ptr,ptr,long,long,long,long,ptr,ptr	ntstatus	planned
NtCreateUserProcess	stdcall	ptr,ptr,long,long,ptr,ptr,long,long,ptr,ptr,ptr	syscall	-	K-process	kernel	wine-spec	ptr,ptr,long,long,ptr,ptr,long,long,ptr,ptr,ptr	ntstatus	planned
NtDeleteFile	stdcall	ptr	syscall	-	K-io	kernel	wine-spec	ptr	ntstatus	planned
NtFlushBuffersFileEx	stdcall	long,long,ptr,long,ptr	syscall	-	K-io	kernel	wine-spec	long,long,ptr,long,ptr	ntstatus	planned
NtFlushProcessWriteBuffers	stdcall	-	syscall	-	K-vm	kernel	wine-spec	-	ntstatus	planned
NtGetCurrentProcessorNumber	stdcall	-	syscall	-	K-system	kernel	wine-spec	-	u32	planned
NtGetNextProcess	stdcall	ptr,long,long,long,ptr	syscall	-	K-process	kernel	wine-spec	ptr,long,long,long,ptr	ntstatus	planned
NtGetNextThread	stdcall	ptr,ptr,long,long,long,ptr	syscall	-	K-process	kernel	wine-spec	ptr,ptr,long,long,long,ptr	ntstatus	planned
NtGetNlsSectionPtr	stdcall	long,long,long,ptr,ptr	syscall	-	K-nls	kernel	wine-spec	long,long,long,ptr,ptr	ntstatus	planned
NtInitializeNlsFiles	stdcall	ptr,ptr,ptr	syscall	-	K-nls	kernel	wine-spec	ptr,ptr,ptr	ntstatus	planned
NtMapViewOfSectionEx	stdcall	long,long,ptr,ptr,ptr,long,long,ptr,long	syscall	-	K-vm	kernel	wine-spec	long,long,ptr,ptr,ptr,long,long,ptr,long	ntstatus	planned
NtNotifyChangeMultipleKeys	stdcall	long,long,ptr,long,ptr,ptr,ptr,long,long,ptr,long,long	syscall	-	K-config	kernel	wine-spec	long,long,ptr,long,ptr,ptr,ptr,long,long,ptr,long,long	ntstatus	planned
NtOpenKeyEx	stdcall	ptr,long,ptr,long	syscall	-	K-config	kernel	wine-spec	ptr,long,ptr,long	ntstatus	planned
NtOpenKeyTransacted	stdcall	ptr,long,ptr,long	syscall	-	K-config	kernel	wine-spec	ptr,long,ptr,long	ntstatus	planned
NtOpenKeyTransactedEx	stdcall	ptr,long,ptr,long,long	syscall	-	K-config	kernel	wine-spec	ptr,long,ptr,long,long	ntstatus	planned
NtOpenKeyedEvent	stdcall	ptr,long,ptr	syscall	-	K-thread	kernel	wine-spec	ptr,long,ptr	ntstatus	planned
NtQueryLicenseValue	stdcall	ptr,ptr,ptr,long,ptr	syscall	-	K-config	kernel	wine-spec	ptr,ptr,ptr,long,ptr	ntstatus	planned
NtQueryMultipleValueKey	stdcall	long,ptr,long,ptr,long,ptr	syscall	-	K-config	kernel	wine-spec	long,ptr,long,ptr,long,ptr	ntstatus	planned
NtQueryMutant	stdcall	long,long,ptr,long,ptr	syscall	-	K-thread	kernel	wine-spec	long,long,ptr,long,ptr	ntstatus	implemented
NtQuerySystemEnvironmentValue	stdcall	ptr,ptr,long,ptr	syscall	-	K-system	kernel	wine-spec	ptr,ptr,long,ptr	ntstatus	planned
NtQuerySystemInformationEx	stdcall	long,ptr,long,ptr,long,ptr	syscall	-	K-system	kernel	wine-spec	long,ptr,long,ptr,long,ptr	ntstatus	planned
NtQueryTimer	stdcall	ptr,long,ptr,long,ptr	syscall=0x0038	-	K-time	kernel	wine-spec	ptr,long,ptr,long,ptr	ntstatus	implemented
NtQueryTimerResolution	stdcall	ptr,ptr,ptr	syscall	-	K-time	kernel	wine-spec	ptr,ptr,ptr	ntstatus	planned
NtQueueApcThreadEx	stdcall	long,long,ptr,long,long,long	syscall	-	K-thread	kernel	wine-spec	long,long,ptr,long,long,long	ntstatus	planned
NtQueueApcThreadEx2	stdcall	long,long,long,ptr,long,long,long	syscall	-	K-thread	kernel	wine-spec	long,long,long,ptr,long,long,long	ntstatus	planned
NtReadRequestData	stdcall	long,ptr,long,ptr,long,ptr	syscall=0x0054	-	K-lpc	kernel	wine-spec	long,ptr,long,ptr,long,ptr	ntstatus	planned
NtRemoveIoCompletionEx	stdcall	ptr,ptr,long,ptr,ptr,long	syscall	-	K-io	kernel	wine-spec	ptr,ptr,long,ptr,ptr,long	ntstatus	planned
NtRenameKey	stdcall	long,ptr	syscall	-	K-config	kernel	wine-spec	long,ptr	ntstatus	planned
NtReplyWaitReceivePortEx	stdcall	long,ptr,ptr,ptr,ptr	syscall=0x002b	-	K-lpc	kernel	wine-spec	long,ptr,ptr,ptr,ptr	ntstatus	planned
NtRollbackTransaction	stdcall	long,long	syscall	-	K-ktm	kernel	wine-spec	long,long	ntstatus	planned
NtSetEventBoostPriority	stdcall	long	syscall=0x002d	-	K-thread	kernel	wine-spec	long	ntstatus	planned
NtSetInformationKey	stdcall	long,long,ptr,long	syscall	-	K-config	kernel	wine-spec	long,long,ptr,long	ntstatus	planned
NtSetInformationVirtualMemory	stdcall	long,long,ptr,ptr,ptr,long	syscall	-	K-vm	kernel	wine-spec	long,long,ptr,ptr,ptr,long	ntstatus	planned
NtSetIntervalProfile	stdcall	long,long	syscall	-	K-time	kernel	wine-spec	long,long	ntstatus	planned
NtSetIoCompletionEx	stdcall	ptr,ptr,long,long,long,long	syscall	-	K-io	kernel	wine-spec	ptr,ptr,long,long,long,long	ntstatus	planned
NtSetLdtEntries	stdcall	long,long,long,long,long,long	syscall	-	K-arch	kernel	wine-spec	long,long,long,long,long,long	ntstatus	planned
NtSetTimerResolution	stdcall	long,long,ptr	syscall	-	K-time	kernel	wine-spec	long,long,ptr	ntstatus	planned
NtSystemDebugControl	stdcall	long,ptr,long,ptr,long,ptr	syscall	-	K-system	kernel	wine-spec	long,ptr,long,ptr,long,ptr	ntstatus	planned
NtTraceControl	stdcall	long,ptr,long,ptr,long,long	syscall	-	K-system	kernel	wine-spec	long,ptr,long,ptr,long,long	ntstatus	planned
NtTraceEvent	stub	-	syscall=0x005e	-	K-system	kernel	reactos-sysfuncs	long,long,long,ptr	ntstatus	planned
NtUnmapViewOfSectionEx	stdcall	long,ptr,long	syscall	-	K-vm	kernel	wine-spec	long,ptr,long	ntstatus	planned
NtWaitForAlertByThreadId	stdcall	ptr,ptr	syscall	-	K-thread	kernel	wine-spec	ptr,ptr	ntstatus	planned
NtWaitForMultipleObjects32	stub	-	syscall=0x001a	-	K-thread	kernel	reactos-sysfuncs	long,ptr,long,long,ptr	ntstatus	planned
