# wine-commit	2ecc2f84b45ec42afbf1725d756181180a8204b1
# wine-spec-blob	10d42eeb1387204518711814923e19b6bbed25cf
# wine-spec-sha256	25fafa3c7f9c2f981f1dcd70ee4315d8dedb13a695a20528a80843df86fff15c
# architecture	x86_64
# line	name	kind	args	flags	alias	wine-extension
6	A_SHAFinal	stdcall	ptr,ptr	-	-	0
7	A_SHAInit	stdcall	ptr	-	-	0
8	A_SHAUpdate	stdcall	ptr,ptr,long	-	-	0
9	AlpcGetHeaderSize	stdcall	long	-	-	0
11	AlpcGetMessageAttribute	stdcall	ptr,long	-	-	0
10	AlpcInitializeMessageAttribute	stdcall	long,ptr,long,ptr	-	-	0
12	ApiSetQueryApiSetPresence	stdcall	ptr,ptr	-	-	0
13	ApiSetQueryApiSetPresenceEx	stdcall	ptr,ptr,ptr	-	-	0
14	CsrAllocateCaptureBuffer	stub	-	-	-	0
15	CsrAllocateCapturePointer	stub	-	-	-	0
16	CsrAllocateMessagePointer	stub	-	-	-	0
17	CsrCaptureMessageBuffer	stub	-	-	-	0
19	CsrCaptureMessageString	stub	-	-	-	0
20	CsrCaptureTimeout	stub	-	-	-	0
21	CsrClientCallServer	stub	-	-	-	0
22	CsrClientConnectToServer	stub	-	-	-	0
23	CsrClientMaxMessage	stub	-	-	-	0
24	CsrClientSendMessage	stub	-	-	-	0
25	CsrClientThreadConnect	stub	-	-	-	0
26	CsrFreeCaptureBuffer	stub	-	-	-	0
28	CsrIdentifyAlertableThread	stub	-	-	-	0
29	CsrNewThread	stub	-	-	-	0
30	CsrProbeForRead	stub	-	-	-	0
31	CsrProbeForWrite	stub	-	-	-	0
32	CsrSetPriorityClass	stub	-	-	-	0
33	CsrpProcessCallbackRequest	stub	-	-	-	0
34	DbgBreakPoint	stdcall	-	-	-	0
35	DbgPrint	varargs	str	-	-	0
36	DbgPrintEx	varargs	long,long,str	-	-	0
38	DbgPrompt	stub	-	-	-	0
41	DbgUiConnectToDbg	stdcall	-	-	-	0
42	DbgUiContinue	stdcall	ptr,long	-	-	0
43	DbgUiConvertStateChangeStructure	stdcall	ptr,ptr	-	-	0
44	DbgUiDebugActiveProcess	stdcall	long	-	-	0
45	DbgUiGetThreadDebugObject	stdcall	-	-	-	0
46	DbgUiIssueRemoteBreakin	stdcall	long	-	-	0
47	DbgUiRemoteBreakin	stdcall	ptr	-	-	0
48	DbgUiSetThreadDebugObject	stdcall	long	-	-	0
49	DbgUiStopDebugging	stdcall	long	-	-	0
50	DbgUiWaitStateChange	stdcall	ptr,ptr	-	-	0
51	DbgUserBreakPoint	stdcall	-	-	-	0
52	EtwEventActivityIdControl	stdcall	long,ptr	-	-	0
53	EtwEventEnabled	stdcall	int64,ptr	-	-	0
54	EtwEventProviderEnabled	stdcall	int64,long,int64	-	-	0
55	EtwEventRegister	stdcall	ptr,ptr,ptr,ptr	-	-	0
56	EtwEventSetInformation	stdcall	int64,long,ptr,long	-	-	0
57	EtwEventUnregister	stdcall	int64	-	-	0
58	EtwEventWrite	stdcall	int64,ptr,long,ptr	-	-	0
59	EtwEventWriteEx	stdcall	int64,ptr,int64,long,ptr,ptr,long,ptr	-	-	0
60	EtwEventWriteString	stdcall	int64,long,int64,wstr	-	-	0
61	EtwEventWriteTransfer	stdcall	int64,ptr,ptr,ptr,long,ptr	-	-	0
62	EtwGetTraceEnableFlags	stdcall	int64	-	-	0
63	EtwGetTraceEnableLevel	stdcall	int64	-	-	0
64	EtwGetTraceLoggerHandle	stdcall	ptr	ret64	-	0
65	EtwLogTraceEvent	stdcall	int64,ptr	-	-	0
66	EtwRegisterTraceGuidsA	stdcall	ptr,ptr,ptr,long,ptr,str,str,ptr	-	-	0
67	EtwRegisterTraceGuidsW	stdcall	ptr,ptr,ptr,long,ptr,wstr,wstr,ptr	-	-	0
68	EtwTraceMessage	varargs	int64,long,ptr,long	-	-	0
69	EtwTraceMessageVa	stdcall	int64,long,ptr,long,ptr	-	-	0
70	EtwUnregisterTraceGuids	stdcall	int64	-	-	0
74	KiRaiseUserExceptionDispatcher	stdcall	-	norelay	-	0
75	KiUserApcDispatcher	stdcall	ptr,long,long,long,ptr	norelay	-	0
76	KiUserCallbackDispatcher	stdcall	long,ptr,long	norelay	-	0
79	KiUserExceptionDispatcher	stdcall	ptr,ptr	norelay	-	0
81	LdrAccessResource	stdcall	long,ptr,ptr,ptr	-	-	0
82	LdrAddDllDirectory	stdcall	ptr,ptr	-	-	0
83	LdrAddRefDll	stdcall	long,ptr	-	-	0
87	LdrDisableThreadCalloutsForDll	stdcall	long	-	-	0
88	LdrEnumResources	stub	-	-	-	0
89	LdrEnumerateLoadedModules	stdcall	ptr,ptr,ptr	-	-	0
91	LdrFindEntryForAddress	stdcall	ptr,ptr	-	-	0
92	LdrFindResourceDirectory_U	stdcall	long,ptr,long,ptr	-	-	0
94	LdrFindResource_U	stdcall	long,ptr,long,ptr	-	-	0
95	LdrFlushAlternateResourceModules	stub	-	-	-	0
96	LdrGetDllDirectory	stdcall	ptr	-	-	0
97	LdrGetDllFullName	stdcall	long,ptr	-	-	0
98	LdrGetDllHandle	stdcall	wstr,long,ptr,ptr	-	-	0
99	LdrGetDllHandleEx	stdcall	long,ptr,ptr,ptr,ptr	-	-	0
101	LdrGetDllPath	stdcall	wstr,long,ptr,ptr	-	-	0
102	LdrGetProcedureAddress	stdcall	ptr,ptr,long,ptr	-	-	0
104	LdrInitShimEngineDynamic	stub	-	-	-	0
105	LdrInitializeThunk	stdcall	ptr,long,long,long	-	-	0
106	LdrLoadAlternateResourceModule	stub	-	-	-	0
107	LdrLoadDll	stdcall	wstr,ptr,ptr,ptr	-	-	0
108	LdrLockLoaderLock	stdcall	long,ptr,ptr	-	-	0
109	LdrProcessRelocationBlock	stdcall	ptr,long,ptr,long	-	-	0
110	LdrQueryImageFileExecutionOptions	stdcall	ptr,wstr,long,ptr,long,ptr	-	-	0
111	LdrQueryProcessModuleInformation	stdcall	ptr,long,ptr	-	-	0
112	LdrRegisterDllNotification	stdcall	long,ptr,ptr,ptr	-	-	0
113	LdrRemoveDllDirectory	stdcall	ptr	-	-	0
114	LdrResolveDelayLoadedAPI	stdcall	ptr,ptr,ptr,ptr,ptr,long	-	-	0
115	LdrSetAppCompatDllRedirectionCallback	stub	-	-	-	0
116	LdrSetDefaultDllDirectories	stdcall	long	-	-	0
117	LdrSetDllDirectory	stdcall	ptr	-	-	0
118	LdrSetDllManifestProber	stub	-	-	-	0
119	LdrShutdownProcess	stdcall	-	-	-	0
120	LdrShutdownThread	stdcall	-	-	-	0
121	LdrSystemDllInitBlock	extern	-	-	-	0
122	LdrUnloadAlternateResourceModule	stub	-	-	-	0
123	LdrUnloadDll	stdcall	ptr	-	-	0
124	LdrUnlockLoaderLock	stdcall	long,long	-	-	0
125	LdrUnregisterDllNotification	stdcall	ptr	-	-	0
126	LdrVerifyImageMatchesChecksum	stub	-	-	-	0
127	MD4Final	stdcall	ptr	-	-	0
128	MD4Init	stdcall	ptr	-	-	0
129	MD4Update	stdcall	ptr,ptr,long	-	-	0
130	MD5Final	stdcall	ptr	-	-	0
131	MD5Init	stdcall	ptr	-	-	0
132	MD5Update	stdcall	ptr,ptr,long	-	-	0
133	NlsAnsiCodePage	extern	-	-	-	0
134	NlsMbCodePageTag	extern	-	-	-	0
135	NlsMbOemCodePageTag	extern	-	-	-	0
